測站名稱,測站ID,縣市,鄉鎮,高度(m),緯度(WGS84),經度(WGS84),觀測時間,天氣狀況,氣溫(℃),相對濕度(%),氣壓(hPa),降雨量(mm),風速(m/s),風向(度),今日最高溫(℃),最高溫時間,今日最低溫(℃),最低溫時間
崇德,C0TB40,花蓮縣,秀林鄉,8.0,24.166144,121.657414,2026-07-02T10:00:00+08:00,晴,31.2,67,1010.2,0.0,2.8,173.0,31.2,2026-07-02T10:00:00+08:00,26.5,2026-07-02T02:10:00+08:00
富山,C0SD20,臺東縣,卑南鄉,21.0,22.822383,121.190825,2026-07-02T10:00:00+08:00,晴,30.8,72,1011.1,0.0,2.6,105.0,31.7,2026-07-02T07:30:00+08:00,24.9,2026-07-02T04:40:00+08:00
東清國小,C0SD30,臺東縣,蘭嶼鄉,18.0,22.057128,121.564922,2026-07-02T10:00:00+08:00,晴,29.9,80,1010.7,7.5,5.0,153.0,30.2,2026-07-02T09:00:00+08:00,27.2,2026-07-02T03:00:00+08:00
牛頭山,C0SD40,臺東縣,綠島鄉,76.0,22.676661,121.506944,2026-07-02T10:00:00+08:00,多雲,31.1,76,1005.0,0.0,4.2,134.0,31.5,2026-07-02T07:30:00+08:00,27.4,2026-07-02T00:50:00+08:00
磐石,C0TC00,花蓮縣,秀林鄉,1164.0,24.015008,121.395456,2026-07-02T10:00:00+08:00,晴,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
西林林道12.5K,C0TC10,花蓮縣,萬榮鄉,883.0,23.829641,121.412330,2026-07-02T10:00:00+08:00,晴,27.7,79,914.2,0.0,3.2,9.0,27.7,2026-07-02T10:00:00+08:00,20.9,2026-07-02T03:00:00+08:00
光復林道16K,C0TC20,花蓮縣,萬榮鄉,1035.0,23.667010,121.369490,2026-07-02T10:00:00+08:00,晴,25.9,81,897.7,0.0,1.9,5.0,26.3,2026-07-02T09:30:00+08:00,20.1,2026-07-02T05:20:00+08:00
虎頭山,C0TC30,花蓮縣,萬榮鄉,1136.0,23.528490,121.339920,2026-07-02T10:00:00+08:00,晴,26.1,78,888.5,0.0,1.3,20.0,26.1,2026-07-02T09:20:00+08:00,19.5,2026-07-02T04:30:00+08:00
新白楊,C0TC40,花蓮縣,秀林鄉,1625.0,24.198205,121.432960,2026-07-02T10:00:00+08:00,晴,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
龍泉苗圃,C0SD90,臺東縣,海端鄉,434.0,23.166640,121.180110,2026-07-02T10:00:00+08:00,晴,30.1,67,962.4,0.0,1.1,7.0,30.6,2026-07-02T09:20:00+08:00,21.9,2026-07-02T05:50:00+08:00
綠水,C0TC50,花蓮縣,秀林鄉,418.0,24.178416,121.507950,2026-07-02T10:00:00+08:00,晴,29.7,59,964.8,0.0,3.1,19.0,29.7,2026-07-02T10:00:00+08:00,21.9,2026-07-02T05:40:00+08:00
樟原南溪,C0SE00,臺東縣,長濱鄉,675.0,23.402300,121.423180,2026-07-02T10:00:00+08:00,晴,31.9,72,935.1,0.0,0.7,15.0,32.4,2026-07-02T09:30:00+08:00,22.8,2026-07-02T02:00:00+08:00
水社寮,C0M9H0,嘉義縣,竹崎鄉,1188.0,23.504180,120.660350,2026-07-02T10:00:00+08:00,多雲,-99,-99,-99,0.0,-99,-99,-99,-99,-99,-99
鹿林山,C0H9Z0,南投縣,信義鄉,2873.0,23.468688,120.873288,2026-07-02T10:00:00+08:00,晴,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
交力坪,C0M9J0,嘉義縣,竹崎鄉,1001.0,23.531680,120.643560,2026-07-02T10:00:00+08:00,多雲,25.8,81,901.4,0.0,0.5,10.0,26.5,2026-07-02T09:00:00+08:00,21.9,2026-07-02T05:00:00+08:00
二萬平,C0M9K0,嘉義縣,阿里山鄉,2011.0,23.508390,120.790110,2026-07-02T10:00:00+08:00,晴,22.6,73,802.9,0.0,1.1,26.0,23.2,2026-07-02T08:50:00+08:00,14.8,2026-07-02T00:50:00+08:00
天池,C0V930,高雄市,桃源區,2322.0,23.277780,120.915690,2026-07-02T10:00:00+08:00,晴,-99,-99,-99,0.0,-99,-99,25.4,2026-07-02T09:50:00+08:00,16.1,2026-07-02T04:10:00+08:00
奧萬大,C0HA10,南投縣,仁愛鄉,1253.0,23.952940,121.178470,2026-07-02T10:00:00+08:00,晴,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
杉林溪大飯店,C0HA20,南投縣,竹山鎮,1676.0,23.634270,120.791280,2026-07-02T10:00:00+08:00,晴,-99,-99,-99,0.0,-99,-99,23.6,2026-07-02T08:50:00+08:00,16.8,2026-07-02T06:00:00+08:00
美瓏山,C0V940,高雄市,桃源區,1387.0,23.119700,120.747310,2026-07-02T10:00:00+08:00,晴,25.9,68,862.5,0.0,0.7,25.0,27.3,2026-07-02T08:00:00+08:00,20.0,2026-07-02T01:20:00+08:00
五指寮林道3.5K,C0V950,高雄市,甲仙區,616.0,23.136775,120.640280,2026-07-02T10:00:00+08:00,晴,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
西阿里關山,C0V960,高雄市,甲仙區,976.0,23.183025,120.641430,2026-07-02T10:00:00+08:00,晴,26.0,84,904.9,0.0,0.2,0.0,27.4,2026-07-02T09:40:00+08:00,20.5,2026-07-02T04:50:00+08:00
上德文,C0R120,屏東縣,三地門鄉,835.0,22.763360,120.704580,2026-07-02T10:00:00+08:00,多雲,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
花菓,C0V970,高雄市,六龜區,1105.0,23.034775,120.684150,2026-07-02T10:00:00+08:00,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
硬漢嶺,C0AK30,新北市,八里區,607.0,25.136097,121.426372,2026-07-02T10:00:00+08:00,晴,26.8,89,944.5,0.0,2.4,17.0,28.8,2026-07-02T06:30:00+08:00,25.2,2026-07-02T00:10:00+08:00
秀林,C0TA40,花蓮縣,秀林鄉,930.0,24.302864,121.731144,2026-07-02T10:00:00+08:00,晴,26.9,66,911.1,0.0,2.0,164.0,27.3,2026-07-02T08:40:00+08:00,22.8,2026-07-02T00:50:00+08:00
和仁,C0TA50,花蓮縣,秀林鄉,3.0,24.241394,121.712472,2026-07-02T10:00:00+08:00,晴,30.5,70,1009.7,0.0,5.5,207.0,31.1,2026-07-02T08:20:00+08:00,26.7,2026-07-02T03:00:00+08:00
立霧山,C0TA80,花蓮縣,秀林鄉,1108.0,24.183258,121.641899,2026-07-02T10:00:00+08:00,晴,26.4,76,893.2,0.0,1.0,5.0,26.4,2026-07-02T10:00:00+08:00,19.5,2026-07-02T04:40:00+08:00
鞍馬山工作站,C0FA60,臺中市,和平區,2137.0,24.267064,121.000793,2026-07-02T10:00:00+08:00,晴,21.5,68,784.9,0.0,1.1,27.0,21.5,2026-07-02T10:00:00+08:00,14.8,2026-07-02T06:40:00+08:00
大雪山埡口,C0FA70,臺中市,和平區,2591.0,24.268670,121.030620,2026-07-02T10:00:00+08:00,晴,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
小雪山天池,C0FA80,臺中市,和平區,2629.0,24.280250,121.026270,2026-07-02T10:00:00+08:00,晴,17.5,71,750.3,0.0,0.9,254.0,18.1,2026-07-02T09:00:00+08:00,13.7,2026-07-02T00:30:00+08:00
小雪山林道,C0FA90,臺中市,和平區,2940.0,24.295150,121.036510,2026-07-02T10:00:00+08:00,晴,19.4,60,720.5,0.0,1.5,174.0,19.4,2026-07-02T10:00:00+08:00,10.4,2026-07-02T06:00:00+08:00
大雪山,C0FB00,臺中市,和平區,2275.0,24.254668,121.007374,2026-07-02T10:00:00+08:00,晴,19.0,77,782.3,0.0,1.1,262.0,20.1,2026-07-02T07:20:00+08:00,16.7,2026-07-02T00:50:00+08:00
出雲山苗圃,C0FB10,臺中市,和平區,1034.0,24.231050,120.904750,2026-07-02T10:00:00+08:00,晴,25.4,89,904.1,0.0,1.5,350.0,25.4,2026-07-02T10:00:00+08:00,19.0,2026-07-02T03:30:00+08:00
雪山橋,C0FB20,臺中市,和平區,2006.0,24.231920,120.978600,2026-07-02T10:00:00+08:00,晴,-99,-99,806.6,0.0,0.9,205.0,18.8,2026-07-02T00:20:00+08:00,-99,-99
八仙山苗圃,C0FB30,臺中市,和平區,961.0,24.192719,121.001366,2026-07-02T10:00:00+08:00,晴,28.4,68,906.6,0.0,1.8,264.0,28.4,2026-07-02T10:00:00+08:00,20.4,2026-07-02T05:50:00+08:00
中橫21.6k,C0FB40,臺中市,和平區,1341.0,24.249900,121.145500,2026-07-02T10:00:00+08:00,晴,30.1,48,864.7,0.0,0.6,25.0,30.1,2026-07-02T10:00:00+08:00,19.0,2026-07-02T05:00:00+08:00
